country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-06-2025 22:00:00",17.72,83.3,NH3,3,3,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","25-06-2025 22:00:00",17.72,83.3,OZONE,8,35,16
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","25-06-2025 22:00:00",27.103358,93.679645,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","25-06-2025 22:00:00",26.071318,91.87488,NO2,3,16,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","25-06-2025 22:00:00",26.071318,91.87488,CO,32,70,53
India,Assam,Guwahati,"IITG, Guwahati - PCBA","25-06-2025 22:00:00",26.2028636,91.70046436,SO2,21,28,23
India,Assam,Guwahati,"IITG, Guwahati - PCBA","25-06-2025 22:00:00",26.2028636,91.70046436,OZONE,1,20,7
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","25-06-2025 22:00:00",26.10887,91.589544,PM2.5,15,283,58
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","25-06-2025 22:00:00",26.10887,91.589544,NH3,7,13,10
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","25-06-2025 22:00:00",26.10887,91.589544,SO2,8,14,11
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","25-06-2025 22:00:00",13.615387,79.409230,CO,8,15,12
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","25-06-2025 22:00:00",16.536107,80.594233,NO2,19,23,20
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","25-06-2025 22:00:00",16.536107,80.594233,NH3,4,6,4
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","25-06-2025 22:00:00",16.536107,80.594233,SO2,12,19,14
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","25-06-2025 22:00:00",16.509717,80.612222,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","25-06-2025 22:00:00",16.509717,80.612222,CO,62,72,68
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","25-06-2025 22:00:00",16.509717,80.612222,OZONE,26,37,30
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","25-06-2025 22:00:00",16.554731,80.649110,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","25-06-2025 22:00:00",16.554731,80.649110,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","25-06-2025 22:00:00",16.554731,80.649110,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","25-06-2025 22:00:00",16.554731,80.649110,CO,30,38,34
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","25-06-2025 22:00:00",26.987634,94.636574,PM10,18,36,22
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","25-06-2025 22:00:00",26.987634,94.636574,NO2,7,16,12
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","25-06-2025 22:00:00",26.146529,87.454184,PM2.5,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","25-06-2025 22:00:00",26.146529,87.454184,NH3,5,5,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","25-06-2025 22:00:00",26.146529,87.454184,SO2,7,26,17
